Governorate,District,Nationality,Number of Immigrants
Akkar,Akkar,Egyptian,153
Akkar,Akkar,Ethiopians,266
Akkar,Akkar,Iraqi,0
Akkar,Akkar,Other Nationalities,0
Akkar,Akkar,Bangladeshi,127
Akkar,Akkar,Sri Lankan,43
Akkar,Akkar,Sudanese,10
Baalbek Hermel,Baalbek,Egyptian,53
Baalbek Hermel,Hermel,Egyptian,0
Baalbek Hermel,Baalbek,Ethiopians,3383
Baalbek Hermel,Hermel,Ethiopians,100
Baalbek Hermel,Baalbek,Iraqi,78
Baalbek Hermel,Hermel,Iraqi,0
Baalbek Hermel,Baalbek,Other Nationalities,28
Baalbek Hermel,Hermel,Other Nationalities,0
Baalbek Hermel,Baalbek,Bangladeshi,157
Baalbek Hermel,Hermel,Bangladeshi,0
Baalbek Hermel,Baalbek,Sri Lankan,14
Baalbek Hermel,Hermel,Sri Lankan,0
Baalbek Hermel,Baalbek,Sudanese,6
Baalbek Hermel,Hermel,Sudanese,0
Beirut,Beirut,Egyptian,8581
Beirut,Beirut,Ethiopians,25452
Beirut,Beirut,Iraqi,8352
Beirut,Beirut,Other Nationalities,38642
Beirut,Beirut,Bangladeshi,22478
Beirut,Beirut,Sri Lankan,12653
Beirut,Beirut,Sudanese,7463
Beqaa,Rashaya,Egyptian,10
Beqaa,Western Beqaa,Egyptian,17
Beqaa,Zahle,Egyptian,181
Beqaa,Rashaya,Ethiopians,315
Beqaa,Western Beqaa,Ethiopians,2342
Beqaa,Zahle,Ethiopians,2134
Beqaa,Rashaya,Iraqi,0
Beqaa,Western Beqaa,Iraqi,29
Beqaa,Zahle,Iraqi,107
Beqaa,Rashaya,Other Nationalities,5
Beqaa,Western Beqaa,Other Nationalities,0
Beqaa,Zahle,Other Nationalities,0
Beqaa,Rashaya,Bangladeshi,17
Beqaa,Western Beqaa,Bangladeshi,277
Beqaa,Zahle,Bangladeshi,1726
Beqaa,Rashaya,Sri Lankan,46
Beqaa,Western Beqaa,Sri Lankan,89
Beqaa,Zahle,Sri Lankan,971
Beqaa,Rashaya,Sudanese,0
Beqaa,Western Beqaa,Sudanese,0
Beqaa,Zahle,Sudanese,10
Mount Lebanon,Aley,Egyptian,71
Mount Lebanon,Baabda,Egyptian,241
Mount Lebanon,Byblos,Egyptian,243
Mount Lebanon,Chouf,Egyptian,394
Mount Lebanon,Keserwan,Egyptian,1836
Mount Lebanon,Matn,Egyptian,4667
Mount Lebanon,Aley,Ethiopians,2782
Mount Lebanon,Baabda,Ethiopians,1591
Mount Lebanon,Byblos,Ethiopians,799
Mount Lebanon,Chouf,Ethiopians,1368
Mount Lebanon,Keserwan,Ethiopians,3251
Mount Lebanon,Matn,Ethiopians,4878
Mount Lebanon,Aley,Iraqi,162
Mount Lebanon,Baabda,Iraqi,1245
Mount Lebanon,Byblos,Iraqi,113
Mount Lebanon,Chouf,Iraqi,25
Mount Lebanon,Keserwan,Iraqi,192
Mount Lebanon,Matn,Iraqi,1005
Mount Lebanon,Aley,Other Nationalities,100
Mount Lebanon,Baabda,Other Nationalities,402
Mount Lebanon,Byblos,Other Nationalities,190
Mount Lebanon,Chouf,Other Nationalities,100
Mount Lebanon,Keserwan,Other Nationalities,886
Mount Lebanon,Matn,Other Nationalities,23
Mount Lebanon,Aley,Bangladeshi,945
Mount Lebanon,Baabda,Bangladeshi,577
Mount Lebanon,Byblos,Bangladeshi,255
Mount Lebanon,Chouf,Bangladeshi,901
Mount Lebanon,Keserwan,Bangladeshi,1232
Mount Lebanon,Matn,Bangladeshi,4214
Mount Lebanon,Aley,Sri Lankan,553
Mount Lebanon,Baabda,Sri Lankan,71
Mount Lebanon,Byblos,Sri Lankan,0
Mount Lebanon,Chouf,Sri Lankan,176
Mount Lebanon,Keserwan,Sri Lankan,187
Mount Lebanon,Matn,Sri Lankan,997
Mount Lebanon,Aley,Sudanese,2675
Mount Lebanon,Baabda,Sudanese,432
Mount Lebanon,Byblos,Sudanese,6
Mount Lebanon,Chouf,Sudanese,295
Mount Lebanon,Keserwan,Sudanese,67
Mount Lebanon,Matn,Sudanese,690
Nabatieh,Bint Jbeil,Egyptian,27
Nabatieh,Hasbaya,Egyptian,1
Nabatieh,Marjeyoun,Egyptian,22
Nabatieh,Nabitieh,Egyptian,124
Nabatieh,Bint Jbeil,Ethiopians,1358
Nabatieh,Hasbaya,Ethiopians,225
Nabatieh,Marjeyoun,Ethiopians,546
Nabatieh,Nabitieh,Ethiopians,1461
Nabatieh,Bint Jbeil,Iraqi,37
Nabatieh,Hasbaya,Iraqi,0
Nabatieh,Marjeyoun,Iraqi,100
Nabatieh,Nabitieh,Iraqi,640
Nabatieh,Bint Jbeil,Other Nationalities,29
Nabatieh,Hasbaya,Other Nationalities,32
Nabatieh,Marjeyoun,Other Nationalities,46
Nabatieh,Nabitieh,Other Nationalities,23
Nabatieh,Bint Jbeil,Bangladeshi,232
Nabatieh,Hasbaya,Bangladeshi,118
Nabatieh,Marjeyoun,Bangladeshi,390
Nabatieh,Nabitieh,Bangladeshi,990
Nabatieh,Bint Jbeil,Sri Lankan,60
Nabatieh,Hasbaya,Sri Lankan,108
Nabatieh,Marjeyoun,Sri Lankan,0
Nabatieh,Nabitieh,Sri Lankan,110
Nabatieh,Bint Jbeil,Sudanese,63
Nabatieh,Hasbaya,Sudanese,0
Nabatieh,Marjeyoun,Sudanese,87
Nabatieh,Nabitieh,Sudanese,739
North ,Batroun,Egyptian,137
North ,Bsharri,Egyptian,8
North ,Koura,Egyptian,83
North ,Mineyeh-Danniyeh,Egyptian,47
North ,Tripoli,Egyptian,1400
North ,Zgharta,Egyptian,85
North ,Batroun,Ethiopians,553
North ,Bsharri,Ethiopians,245
North ,Koura,Ethiopians,962
North ,Mineyeh-Danniyeh,Ethiopians,286
North ,Tripoli,Ethiopians,500
North ,Zgharta,Ethiopians,2463
North ,Batroun,Iraqi,16
North ,Bsharri,Iraqi,0
North ,Koura,Iraqi,19
North ,Mineyeh-Danniyeh,Iraqi,10
North ,Tripoli,Iraqi,400
North ,Zgharta,Iraqi,209
North ,Batroun,Other Nationalities,0
North ,Bsharri,Other Nationalities,8
North ,Koura,Other Nationalities,3
North ,Mineyeh-Danniyeh,Other Nationalities,13
North ,Tripoli,Other Nationalities,1000
North ,Zgharta,Other Nationalities,3
North ,Batroun,Bangladeshi,77
North ,Bsharri,Bangladeshi,15
North ,Koura,Bangladeshi,341
North ,Mineyeh-Danniyeh,Bangladeshi,178
North ,Tripoli,Bangladeshi,0
North ,Zgharta,Bangladeshi,213
North ,Batroun,Sri Lankan,56
North ,Bsharri,Sri Lankan,0
North ,Koura,Sri Lankan,0
North ,Mineyeh-Danniyeh,Sri Lankan,54
North ,Tripoli,Sri Lankan,0
North ,Zgharta,Sri Lankan,125
North ,Batroun,Sudanese,0
North ,Bsharri,Sudanese,10
North ,Koura,Sudanese,95
North ,Mineyeh-Danniyeh,Sudanese,0
North ,Tripoli,Sudanese,0
North ,Zgharta,Sudanese,0
South ,Jezzine,Egyptian,39
South ,Sidon,Egyptian,445
South ,Tyre,Egyptian,253
South ,Jezzine,Ethiopians,487
South ,Sidon,Ethiopians,1993
South ,Tyre,Ethiopians,4191
South ,Jezzine,Iraqi,1
South ,Sidon,Iraqi,190
South ,Tyre,Iraqi,217
South ,Jezzine,Other Nationalities,13
South ,Sidon,Other Nationalities,12
South ,Tyre,Other Nationalities,513
South ,Jezzine,Bangladeshi,267
South ,Sidon,Bangladeshi,1129
South ,Tyre,Bangladeshi,2714
South ,Jezzine,Sri Lankan,15
South ,Sidon,Sri Lankan,233
South ,Tyre,Sri Lankan,33
South ,Jezzine,Sudanese,1
South ,Sidon,Sudanese,293
South ,Tyre,Sudanese,268
